Week-1-rankings-export

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,Injury Status
69,"Chris Godwin","TB","WR",31,10,"ACTIVE"
70,"Aaron Jones","MIN","RB",36,6,"ACTIVE"
71,"Sam LaPorta","DET","TE",4,6,"ACTIVE"
72,"Rome Odunze","CHI","WR",32,10,"QUEST"
73,"Tucker Kraft","GB","TE",5,11,"ACTIVE"
74,"Quentin Johnston","LAC","WR",33,7,"ACTIVE"
75,"Dallas Goedert","PHI","TE",6,10,"ACTIVE"
76,"Marvin Harrison Jr.","ARI","WR",34,14,"ACTIVE"
77,"Courtland Sutton","DEN","WR",35,10,"ACTIVE"
78,"Jayden Reed","GB","WR",36,11,"ACTIVE"
79,"Blake Corum","LAR","RB",37,11,"ACTIVE"
80,"Michael Wilson","ARI","WR",37,14,"ACTIVE"
81,"Michael Mayer","LV","TE",7,13,"ACTIVE"
82,"Juwan Johnson","NO","TE",8,8,"ACTIVE"
83,"Josh Downs","IND","WR",38,13,"ACTIVE"
84,"Michael Pittman Jr.","PIT","WR",39,9,"ACTIVE"
85,"Jordan Addison","MIN","WR",40,6,"ACTIVE"
86,"Wan'Dale Robinson","TEN","WR",41,9,"ACTIVE"
87,"Jonathon Brooks","CAR","RB",38,5,"ACTIVE"
88,"Brian Thomas Jr.","JAX","WR",42,7,"ACTIVE"
89,"Harold Fannin Jr.","CLE","TE",9,11,"ACTIVE"
90,"Jakobi Meyers","JAX","WR",43,7,"ACTIVE"
91,"Carnell Tate","TEN","WR",44,9,"ACTIVE"
92,"Tre Tucker","LV","WR",45,13,"ACTIVE"
93,"Travis Kelce","KC","TE",10,5,"ACTIVE"
94,"Rachaad White","WAS","RB",39,7,"ACTIVE"
95,"Matthew Golden","GB","WR",46,11,"ACTIVE"
96,"Tyler Allgeier","ARI","RB",40,14,"ACTIVE"
97,"Kyle Pitts","ATL","TE",11,11,"ACTIVE"
98,"Alec Pierce","IND","WR",47,13,"ACTIVE"
99,"Jalen Coker","CAR","WR",48,5,"ACTIVE"
100,"Xavier Worthy","KC","WR",49,5,"ACTIVE"
101,"Mark Andrews","BAL","TE",12,13,"ACTIVE"
102,"Stefon Diggs","WAS","WR",50,7,"ACTIVE"
103,"Rashid Shaheed","SEA","WR",51,11,"ACTIVE"
104,"Isaiah Likely","NYG","TE",13,8,"ACTIVE"
105,"Romeo Doubs","NE","WR",52,11,"ACTIVE"
106,"De'Zhaun Stribling","SF","WR",53,8,"ACTIVE"
107,"Dalton Kincaid","BUF","TE",14,7,"ACTIVE"
108,"Khalil Shakir","BUF","WR",54,7,"ACTIVE"
109,"George Kittle","SF","TE",15,8,"ACTIVE"
110,"Deebo Samuel","SF","WR",55,8,"ACTIVE"
111,"KC Concepcion","CLE","WR",56,11,"ACTIVE"
112,"Devaughn Vele","NO","WR",57,8,"ACTIVE"
113,"Jake Ferguson","DAL","TE",16,14,"ACTIVE"
114,"Tyjae Spears","TEN","RB",41,9,"ACTIVE"
115,"Kyle Monangai","CHI","RB",42,10,"ACTIVE"
116,"Hunter Henry","NE","TE",17,11,"ACTIVE"
117,"RJ Harvey","DEN","RB",43,10,"ACTIVE"
118,"Woody Marks","HOU","RB",44,8,"ACTIVE"
119,"Dalton Schultz","HOU","TE",18,8,"ACTIVE"
120,"George Holani","SEA","RB",45,11,"ACTIVE"
121,"Brenton Strange","JAX","TE",19,7,"ACTIVE"
122,"Mike Washington Jr.","LV","RB",46,13,"ACTIVE"
123,"Najee Harris","NYG","RB",47,8,"ACTIVE"
124,"Jalen Nailor","LV","WR",58,13,"ACTIVE"
125,"Adonai Mitchell","NYJ","WR",59,13,"ACTIVE"
126,"Dontayvion Wicks","PHI","WR",60,10,"ACTIVE"
127,"Keenan Allen","IND","WR",61,13,"ACTIVE"
128,"Keaton Mitchell","LAC","RB",48,7,"ACTIVE"
129,"Cooper Kupp","SEA","WR",62,11,"ACTIVE"
130,"Makai Lemon","PHI","WR",63,10,"ACTIVE"
131,"Jerry Jeudy","CLE","WR",64,11,"ACTIVE"
132,"Chigoziem Okonkwo","WAS","TE",20,7,"ACTIVE"
133,"Tank Bigsby","PHI","RB",49,10,"ACTIVE"
134,"T.J. Hockenson","MIN","TE",21,6,"ACTIVE"
135,"Braelon Allen","NYJ","RB",50,13,"ACTIVE"
136,"AJ Barner","SEA","TE",22,11,"ACTIVE"
137,"Brian Robinson","ATL","RB",51,11,"ACTIVE"
138,"Terrance Ferguson","LAR","TE",23,11,"ACTIVE"
139,"Denzel Boston","CLE","WR",65,11,"ACTIVE"
140,"Cade Otton","TB","TE",24,10,"ACTIVE"
141,"Pat Freiermuth","PIT","TE",25,9,"ACTIVE"
142,"Samaje Perine","CIN","RB",52,6,"ACTIVE"
143,"Kayshon Boutte","HOU","WR",66,8,"ACTIVE"
144,"Malik Washington","MIA","WR",67,6,"ACTIVE"
145,"Tre Harris","LAC","WR",68,7,"ACTIVE"
146,"Charlie Kolar","LAC","TE",26,7,"ACTIVE"
147,"Ja'Kobi Lane","BAL","WR",69,13,"ACTIVE"
148,"Caleb Douglas","MIA","WR",70,6,"ACTIVE"
149,"Rashod Bateman","BAL","WR",71,13,"ACTIVE"
150,"Justice Hill","BAL","RB",53,13,"ACTIVE"
151,"Greg Dulcich","MIA","TE",27,6,"ACTIVE"
152,"Jauan Jennings","MIN","WR",72,6,"ACTIVE"
153,"Chris Brooks","GB","RB",54,11,"ACTIVE"
154,"Malachi Fields","NYG","WR",73,8,"ACTIVE"
155,"Dylan Sampson","CLE","RB",55,11,"ACTIVE"
156,"Gunnar Helm","TEN","TE",28,9,"ACTIVE"
157,"Kaelon Black","SF","RB",56,8,"ACTIVE"
158,"Chris Bell","MIA","WR",74,6,"ACTIVE"
159,"Ryan Flournoy","DAL","WR",75,14,"ACTIVE"
160,"Kendre Miller","NO","RB",57,8,"ACTIVE"
161,"Calvin Ridley","TEN","WR",76,9,"ACTIVE"
162,"Emmett Johnson","KC","RB",58,5,"ACTIVE"
163,"Evan Engram","DEN","TE",29,10,"ACTIVE"
164,"Pat Bryant","DEN","WR",77,10,"ACTIVE"
165,"Jaylin Noel","HOU","WR",78,8,"ACTIVE"
166,"Demario Douglas","NE","WR",79,11,"ACTIVE"
167,"Jacob Saylors","DET","RB",59,6,"ACTIVE"
168,"Ray Davis","BUF","RB",60,7,"ACTIVE"
169,"Darnell Mooney","NYG","WR",80,8,"ACTIVE"
170,"Isaac TeSlaa","DET","WR",81,6,"ACTIVE"
171,"Colby Parkinson","LAR","TE",30,11,"ACTIVE"
172,"Xavier Legette","CAR","WR",82,5,"ACTIVE"
173,"Xavier Hutchinson","HOU","WR",83,8,"ACTIVE"
174,"Tyquan Thornton","KC","WR",84,5,"ACTIVE"
175,"Corey Kiner","NE","RB",61,11,"ACTIVE"
176,"Mike Gesicki","CIN","TE",31,6,"ACTIVE"
177,"Jack Bech","LV","WR",85,13,"ACTIVE"
178,"Omar Cooper Jr.","NYJ","WR",86,13,"ACTIVE"
179,"Treylon Burks","WAS","WR",87,7,"ACTIVE"
180,"Andrei Iosivas","CIN","WR",88,6,"ACTIVE"
181,"Ted Hurst","TB","WR",89,10,"ACTIVE"
182,"Darren Waller","CAR","TE",32,5,"ACTIVE"
183,"Germie Bernard","PIT","WR",90,9,"ACTIVE"
184,"Kendrick Bourne","ARI","WR",91,14,"ACTIVE"
185,"Keon Coleman","BUF","WR",92,7,"ACTIVE"
186,"Jahan Dotson","ATL","WR",93,11,"ACTIVE"
187,"Kalif Raymond","CHI","WR",94,10,"ACTIVE"
188,"Mason Taylor","NYJ","TE",33,13,"ACTIVE"
189,"Jonah Coleman","DEN","RB",62,10,"ACTIVE"
190,"Emanuel Wilson","SEA","RB",63,11,"ACTIVE"
191,"Joshua Palmer","BUF","WR",95,7,"ACTIVE"
192,"Bryce Lance","NO","WR",96,8,"ACTIVE"
193,"Tez Johnson","TB","WR",97,10,"ACTIVE"
194,"Kimani Vidal","LAC","RB",64,7,"ACTIVE"
195,"KaVontae Turpin","DAL","WR",98,14,"ACTIVE"
196,"Troy Franklin","DEN","WR",99,10,"ACTIVE"
197,"Darnell Washington","PIT","TE",34,9,"ACTIVE"
198,"Emari Demercado","DAL","RB",65,14,"ACTIVE"
199,"Jaylen Wright","MIA","RB",66,6,"ACTIVE"
200,"Zachariah Branch","ATL","WR",100,11,"ACTIVE"
201,"Seth McGowan","IND","RB",67,13,"ACTIVE"
202,"Odell Beckham Jr.","NYG","WR",101,8,"ACTIVE"
203,"Kenyon Sadiq","NYJ","TE",35,13,"ACTIVE"
204,"Brashard Smith","KC","RB",68,5,"ACTIVE"
205,"David Njoku","LAC","TE",36,7,"ACTIVE"
206,"Theo Johnson","NYG","TE",37,8,"ACTIVE"
207,"Kyle Williams","NE","WR",102,11,"ACTIVE"
208,"Tyrone Tracy","NYG","RB",69,8,"ACTIVE"
209,"Elic Ayomanor","TEN","WR",103,9,"ACTIVE"
210,"Tyler Higbee","LAR","TE",38,11,"ACTIVE"
211,"Dohnte Meyers","CIN","WR",104,6,"ACTIVE"
212,"Isaiah Davis","NYJ","RB",70,13,"ACTIVE"
213,"Roman Wilson","PIT","WR",105,9,"ACTIVE"
214,"Kaytron Allen","WAS","RB",71,7,"ACTIVE"
215,"Kaleb Johnson","GB","RB",72,11,"ACTIVE"
216,"Nicholas Singleton","TEN","RB",73,9,"ACTIVE"
217,"Elijah Arroyo","SEA","TE",39,11,"ACTIVE"
218,"Cole Kmet","CHI","TE",40,10,"ACTIVE"
219,"Marvin Mims Jr.","DEN","WR",106,10,"ACTIVE"
220,"Dawson Knox","BUF","TE",41,7,"ACTIVE"
221,"Travis Hunter","JAX","WR",107,7,"ACTIVE"
222,"Ollie Gordon II","MIA","RB",74,6,"ACTIVE"
223,"Oronde Gadsden II","LAC","TE",42,7,"ACTIVE"
224,"Jalen Tolbert","MIA","WR",108,6,"ACTIVE"
225,"Cyrus Allen","KC","WR",109,5,"ACTIVE"
226,"Demarcus Robinson","SF","WR",110,8,"ACTIVE"
227,"Mack Hollins","NE","WR",111,11,"ACTIVE"
228,"Erick All","CIN","TE",43,6,"ACTIVE"
229,"Ashton Dulin","IND","WR",112,13,"ACTIVE"
230,"Jake Tonges","SF","TE",44,8,"ACTIVE"
231,"Rasheen Ali","BAL","RB",75,13,"ACTIVE"
232,"Kyle Juszczyk","SF","RB",76,8,"ACTIVE"
233,"Isaiah Williams","NYJ","WR",113,13,"ACTIVE"
234,"Tommy Tremble","CAR","TE",45,5,"ACTIVE"
235,"Barion Brown","NO","WR",114,8,"ACTIVE"
236,"Roschon Johnson","CHI","RB",77,10,"ACTIVE"
237,"Jordan Whittington","LAR","WR",115,11,"ACTIVE"
238,"Noah Fant","NO","TE",46,8,"ACTIVE"
239,"Demond Claiborne","MIN","RB",78,6,"ACTIVE"
240,"Devin Singletary","NYG","RB",79,8,"ACTIVE"
241,"Hunter Luepke","DAL","RB",80,14,"ACTIVE"
242,"Noah Gray","KC","TE",47,5,"ACTIVE"
243,"Elijah Higgins","ARI","TE",48,14,"ACTIVE"
244,"Josh Oliver","MIN","TE",49,6,"ACTIVE"
245,"Eli Raridon","NE","TE",50,11,"ACTIVE"
246,"Tahj Brooks","CIN","RB",81,6,"ACTIVE"
247,"Sione Vaki","DET","RB",82,6,"ACTIVE"
248,"Bam Knight","ARI","RB",83,14,"ACTIVE"
249,"Lan Larison","NE","RB",84,11,"ACTIVE"
250,"Raheim Sanders","CLE","RB",85,11,"ACTIVE"
