QB,,,,,RB,,,,,WR,,,,,TE,,,,
#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE,#,Player,TM,$,BYE
 , , , , ,29,Jadarian Price,SEA,$23,11,29,Parker Washington,JAX,$18,7,29,Pat Freiermuth,PIT,$1,9
 , , , , ,30,Kenneth Gainwell,TB,$22,10,30,DK Metcalf,PIT,$18,9, , , , , 
 , , , , ,31,Tony Pollard,TEN,$21,9,31,Brian Thomas Jr.,JAX,$18,7, , , , , 
 , , , , ,32,Chuba Hubbard,CAR,$13,5,32,Rome Odunze,CHI,$18,10, , , , , 
 , , , , ,33,RJ Harvey,DEN,$13,10,33,Carnell Tate,TEN,$18,9, , , , , 
 , , , , ,34,Aaron Jones,MIN,$12,6,34,Josh Downs,IND,$17,13, , , , , 
 , , , , ,35,Rachaad White,WAS,$12,7,35,Michael Wilson,ARI,$17,14, , , , , 
 , , , , ,36,J.K. Dobbins,DEN,$12,10,36,Michael Pittman Jr.,PIT,$17,9, , , , , 
 , , , , ,37,Kyle Monangai,CHI,$11,10,37,Jordyn Tyson,NO,$16,8, , , , , 
 , , , , ,38,Jonathon Brooks,CAR,$11,5,38,Jayden Reed,GB,$16,11, , , , , 
 , , , , ,39,Tyjae Spears,TEN,$10,9,39,Malik Nabers,NYG,$16,8, , , , , 
 , , , , ,40,Blake Corum,LAR,$9,11,40,Wan'Dale Robinson,TEN,$15,9, , , , , 
 , , , , ,41,Jordan Mason,MIN,$9,6,41,Jakobi Meyers,JAX,$15,7, , , , , 
 , , , , ,42,Chris Rodriguez,JAX,$9,7,42,Courtland Sutton,DEN,$15,10, , , , , 
 , , , , ,43,Isiah Pacheco,DET,$7,6,43,Quentin Johnston,LAC,$14,7, , , , , 
 , , , , ,44,Brian Robinson,ATL,$6,11,44,Marvin Harrison Jr.,ARI,$13,14, , , , , 
 , , , , ,45,Justice Hill,BAL,$6,13,45,Romeo Doubs,NE,$13,11, , , , , 
 , , , , ,46,Woody Marks,HOU,$4,8,46,Khalil Shakir,BUF,$13,7, , , , , 
 , , , , ,47,Ty Johnson,BUF,$4,7,47,Jordan Addison,MIN,$12,6, , , , , 
 , , , , ,48,Brashard Smith,KC,$3,5,48,Alec Pierce,IND,$12,13, , , , , 
 , , , , ,49,Jacory Croskey-Merritt,WAS,$3,7,49,Xavier Worthy,KC,$11,5, , , , , 
 , , , , ,50,Samaje Perine,CIN,$2,6,50,Ricky Pearsall,SF,$11,8, , , , , 
 , , , , ,51,Braelon Allen,NYJ,$2,13,51,Jayden Higgins,HOU,$10,8, , , , , 
 , , , , ,52,Tyrone Tracy,NYG,$2,8,52,Matthew Golden,GB,$10,11, , , , , 
 , , , , ,53,Tyler Allgeier,ARI,$1,14,53,Rashid Shaheed,SEA,$10,11, , , , , 
 , , , , ,54,Alvin Kamara,NO,$1,8,54,KC Concepcion,CLE,$8,11, , , , , 
 , , , , ,55,Emanuel Wilson,SEA,$1,11,55,Adonai Mitchell,NYJ,$6,13, , , , , 
 , , , , ,56,Sean Tucker,TB,$1,10,56,Jalen Coker,CAR,$6,5, , , , , 
 , , , , ,57,Dylan Sampson,CLE,$1,11,57,Ryan Flournoy,DAL,$5,14, , , , , 
 , , , , ,58,Ray Davis,BUF,$1,7,58,Tre Tucker,LV,$5,13, , , , , 
 , , , , ,59,Kimani Vidal,LAC,$1,7,59,Jauan Jennings,MIN,$4,6, , , , , 
 , , , , ,60,Kaelon Black,SF,$1,8,60,Antonio Williams,WAS,$4,7, , , , , 
 , , , , ,61,Jonah Coleman,DEN,$1,10,61,Tyquan Thornton,KC,$4,5, , , , , 
 , , , , ,62,DJ Giddens,IND,$1,13,62,Jaylin Noel,HOU,$4,8, , , , , 
 , , , , ,63,Isaiah Davis,NYJ,$1,13,63,Isaac TeSlaa,DET,$3,6, , , , , 
 , , , , ,64,Zach Charbonnet,SEA,$1,11,64,Troy Franklin,DEN,$2,10, , , , , 
 , , , , , , , , , ,65,Germie Bernard,PIT,$1,9, , , , , 
 , , , , , , , , , ,66,Omar Cooper Jr.,NYJ,$1,13, , , , , 
 , , , , , , , , , ,67,Rashod Bateman,BAL,$1,13, , , , , 
 , , , , , , , , , ,68,Denzel Boston,CLE,$1,11, , , , , 
 , , , , , , , , , ,69,Andrei Iosivas,CIN,$1,6, , , , , 
 , , , , , , , , , ,70,Jalen McMillan,TB,$1,10, , , , , 
 , , , , , , , , , ,71,Darius Slayton,NYG,$1,8, , , , , 
 , , , , , , , , , ,72,Chris Bell,MIA,$1,6, , , , , 
 , , , , , , , , , ,73,Travis Hunter,JAX,$1,7, , , , , 
 , , , , , , , , , ,74,Jalen Nailor,LV,$1,13, , , , , 
 , , , , , , , , , ,75,Jack Bech,LV,$1,13, , , , , 
 , , , , , , , , , ,76,Malik Washington,MIA,$1,6, , , , , 
 , , , , , , , , , ,77,Caleb Douglas,MIA,$1,6, , , , , 
 , , , , , , , , , ,78,Xavier Legette,CAR,$1,5, , , , , 
 , , , , , , , , , ,79,Makai Lemon,PHI,$1,10, , , , , 
 , , , , , , , , , ,80,Cooper Kupp,SEA,$1,11, , , , , 
 , , , , , , , , , ,81,Ashton Dulin,IND,$1,13, , , , , 
 , , , , , , , , , ,82,KaVontae Turpin,DAL,$1,14, , , , , 
 , , , , , , , , , ,83,Hollywood Brown,PHI,$1,10, , , , , 
 , , , , , , , , , ,84,Joshua Palmer,BUF,$1,7, , , , , 
 , , , , , , , , , ,85,Calvin Ridley,TEN,$1,9, , , , , 
