Rank,Player,Team,Position,Sources,Justin Boone (Sun 8:31 AM),Patrick Thorman (Sat 11:04 AM),Jeff Ratcliffe (Sun 10:13 AM),Sean Koerner (Sat 11:41 PM)
56,Brevyn Spann-Ford,DAL,TE,3,-55,55,56,60
57,Ian Thomas,LV,TE,3,-54,54,58,62
58,Austin Hooper,ATL,TE,3,-58,58,54,64
59,Mo Alie-Cox,IND,TE,3,-62,62,60,54
60,Johnny Mundt,PHI,TE,3,-61,61,62,58
61,Durham Smythe,BAL,TE,3,-60,60,57,69
62,Will Kacmarek,MIA,TE,3,-63,63,64,65
63,John Bates,WAS,TE,3,-64,64,67,61
64,Foster Moreau,HOU,TE,3,-68,68,61,57
65,Cade Stover,HOU,TE,3,-59,59,74,80
66,Brock Wright,DET,TE,3,-73,73,59,55
67,Nate Boerkircher,JAC,TE,3,-67,67,65,70
68,Josh Whyle,GB,TE,3,-66,66,68,71
69,Jackson Hawes,BUF,TE,3,-70,70,66,66
70,Ben Sinnott,WAS,TE,3,-71,71,63,68
71,Blake Whiteheart,CLE,TE,3,-65,65,70,81
72,Luke Schoonmaker,DAL,TE,3,-72,72,71,67
73,Marlin Klein,HOU,TE,3,-69,69,69,83
74,Matt Hibner,BAL,TE,2,-74,74,-94,50
75,Davis Allen,LAR,TE,3,-77,77,72,82
76,Drew Ogletree,IND,TE,3,-76,76,80,78
77,Nate Adkins,DEN,TE,3,-78,78,75,77
78,Jeremy Ruckert,NYJ,TE,3,-79,79,78,75
79,Luke Farrell,SF,TE,3,-80,80,77,79
80,Hunter Long,ARI,TE,3,-82,82,76,74
81,Tanner Koziol,JAC,TE,2,-86,-86,73,72
82,Payne Durham,TB,TE,3,-85,85,79,73
83,Charlie Woerner,ATL,TE,3,-75,75,83,107
84,Quintin Morris,JAC,TE,3,-83,83,87,85
85,Sam Roush,CHI,TE,3,-84,84,81,88
86,E.J. Jenkins,PHI,TE,2,-88,-88,84,76
87,Jake Briningstool,KC,TE,2,-87,-87,82,84
88,Kylen Granson,TEN,TE,2,-90,-90,86,86
89,Robert Tonyan,PIT,TE,2,-89,-89,85,95
90,Connor Heyward,LV,TE,1,-81,81,-95,-112
91,Jack Endries,CIN,TE,2,-91,-91,88,90
92,Eric Saubert,SEA,TE,2,-92,-92,89,100
93,Gavin Bartholomew,MIN,TE,2,-94,-94,91,93
94,Tanner Hudson,CIN,TE,2,-95,-95,92,92
95,Justin Joly,MIA,TE,1,-96,-96,-96,87
96,Carsen Ryan,CLE,TE,2,-93,-93,90,104
97,Ko Kieft,TB,TE,1,-97,-97,-97,89
98,David Martin-Robinson,TEN,TE,1,-98,-98,-98,91
99,Bauer Sharp,TB,TE,1,-99,-99,-99,94
100,Tyler Conklin,DET,TE,1,-100,-100,-100,96
101,Dallen Bentley,DEN,TE,1,-101,-101,-101,97
102,Carter Runyon,LV,TE,1,-102,-102,-102,98
103,Jared Wiley,KC,TE,1,-103,-103,-103,99
104,Seydou Traore,MIA,TE,1,-104,-104,-104,101
105,Cameron Latu,NE,TE,1,-105,-105,-105,102
106,Josh Cuevas,BAL,TE,1,-106,-106,-106,103
107,Tanner Arkin,NE,TE,1,-107,-107,-107,105
108,Thomas Fidone,NYG,TE,1,-108,-108,-108,106
109,Colson Yankoff,WAS,TE,1,-109,-109,-109,108
110,Chris Manhertz,NYG,TE,1,-110,-110,-110,109
111,Nick Muse,ATL,TE,1,-111,-111,-111,110
112,Treyton Welch,NO,TE,1,-112,-112,-112,111
